date,spot_return_bps,perp_return_bps,funding_pnl_bps,basis_pnl_bps,total_pnl_bps
2022-05-01,0.0000,0.0000,-2.7798,0.0000,-2.7798
2022-05-02,112.3261,112.5601,-0.3020,-0.2340,-0.5360
2022-05-03,-261.9953,-260.0555,2.3933,-1.9398,0.4535
2022-05-04,571.3772,571.2159,2.9221,0.1613,3.0834
2022-05-05,-655.1975,-657.8428,3.0000,2.6453,5.6453
2022-05-06,-200.5844,-199.4633,-0.9918,-1.1211,-2.1129
2022-05-07,-213.5656,-210.9162,2.3118,-2.6493,-0.3375
2022-05-08,-438.7669,-439.9542,2.9867,1.1872,4.1739
2022-05-09,-1155.5298,-1156.9336,2.9193,1.4038,4.3231
2022-05-10,509.2998,509.0057,2.5931,0.2941,2.8872
2022-05-11,-1097.5854,-1097.3745,2.5237,-0.2110,2.3127
2022-05-12,-598.4201,-595.9750,-12.6929,-2.4451,-15.1380
2022-05-13,252.3696,248.5483,-2.7857,3.8213,1.0356
2022-05-14,232.8220,231.5670,2.1037,1.2550,3.3587
2022-05-15,431.8544,433.4307,2.4304,-1.5762,0.8542
2022-05-16,-566.9630,-565.1868,1.9666,-1.7762,0.1904
2022-05-17,331.3798,331.7531,-0.7465,-0.3733,-1.1198
2022-05-18,-839.9499,-841.1483,-0.1648,1.1985,1.0337
2022-05-19,545.3473,549.8903,-0.1126,-4.5430,-4.6556
2022-05-20,-299.4231,-300.9220,2.6647,1.4989,4.1636
2022-05-21,81.6199,77.8582,0.6962,3.7618,4.4580
2022-05-22,344.8992,347.9842,1.9604,-3.0851,-1.1247
2022-05-23,-341.9653,-343.5767,3.0000,1.6114,4.6114
2022-05-24,30.8617,30.9767,-1.6771,-0.1150,-1.7921
2022-05-25,-185.8129,-184.7809,1.7652,-1.0321,0.7331
2022-05-26,-774.2082,-777.4459,-0.1056,3.2378,3.1322
2022-05-27,-362.4535,-359.9625,1.5197,-2.4910,-0.9713
2022-05-28,376.0269,377.5738,1.9508,-1.5469,0.4039
2022-05-29,119.5166,115.5860,1.3594,3.9306,5.2900
2022-05-30,1020.8200,1023.0351,1.8114,-2.2151,-0.4037
2022-05-31,-284.5736,-281.2495,2.7761,-3.3241,-0.5480
2022-06-01,-638.2924,-641.6093,3.0000,3.3169,6.3169
2022-06-02,88.7263,89.5383,-0.0278,-0.8120,-0.8398
2022-06-03,-321.4691,-323.0117,1.7999,1.5426,3.3425
2022-06-04,165.9606,166.6150,2.3000,-0.6544,1.6456
2022-06-05,9.1434,9.3141,1.4518,-0.1707,1.2811
2022-06-06,296.8061,297.5534,2.9597,-0.7474,2.2123
2022-06-07,-250.0753,-250.1197,0.8085,0.0444,0.8529
2022-06-08,-118.2907,-119.1100,2.7041,0.8194,3.5235
2022-06-09,-17.1328,-16.6944,2.5421,-0.4384,2.1037
2022-06-10,-703.8199,-705.1336,0.9154,1.3137,2.2291
2022-06-11,-781.8824,-780.7696,-4.1390,-1.1128,-5.2518
2022-06-12,-639.6415,-638.5631,-2.2766,-1.0784,-3.3550
2022-06-13,-1568.2585,-1570.8160,-0.3784,2.5576,2.1792
2022-06-14,-7.6044,-5.9551,-1.2126,-1.6493,-2.8619
2022-06-15,236.7441,233.1336,-2.2752,3.6105,1.3353
2022-06-16,-1365.7961,-1364.5076,-0.5252,-1.2885,-1.8137
2022-06-17,172.5784,170.6360,-3.3022,1.9424,-1.3598
2022-06-18,-844.6648,-846.2325,-4.4047,1.5676,-2.8371
2022-06-19,1340.5284,1345.8540,-2.6412,-5.3256,-7.9668
2022-06-20,-2.5697,-0.4433,1.6268,-2.1264,-0.4996
2022-06-21,-21.1834,-20.9251,1.6043,-0.2583,1.3460
2022-06-22,-672.0256,-675.8954,-1.6120,3.8698,2.2578
2022-06-23,900.1228,898.7040,-2.1055,1.4188,-0.6867
2022-06-24,701.4816,705.6859,2.2049,-4.2043,-1.9994
2022-06-25,141.5487,140.3113,-0.0130,1.2374,1.2244
2022-06-26,-358.7527,-357.5226,0.4315,-1.2301,-0.7986
2022-06-27,-44.0812,-44.3531,-1.8181,0.2719,-1.5462
2022-06-28,-406.3698,-406.0743,0.4817,-0.2954,0.1863
2022-06-29,-383.2000,-386.3577,0.6047,3.1576,3.7623
2022-06-30,-265.4039,-258.9783,-2.4991,-6.4256,-8.9247
