date,spot_return_bps,perp_return_bps,funding_pnl_bps,basis_pnl_bps,total_pnl_bps
2022-10-25,0.0000,0.0000,1.3180,0.0000,1.3180
2022-10-26,344.3813,343.8258,1.4030,0.5554,1.9584
2022-10-27,-229.3902,-227.7643,-0.0887,-1.6259,-1.7146
2022-10-28,146.2076,146.5579,-0.0316,-0.3503,-0.3819
2022-10-29,105.7846,103.9217,1.1444,1.8629,3.0073
2022-10-30,-87.5506,-87.0811,0.5832,-0.4695,0.1137
2022-10-31,-66.2902,-64.8053,0.4912,-1.4849,-0.9937
2022-11-01,-3.4747,-4.8335,0.0936,1.3588,1.4524
2022-11-02,-161.9733,-162.1719,1.2036,0.1986,1.4022
2022-11-03,27.7791,29.5927,1.0060,-1.8136,-0.8076
2022-11-04,465.5129,464.3138,1.2476,1.1990,2.4466
2022-11-05,71.3289,72.0517,1.8950,-0.7228,1.1722
2022-11-06,-184.8834,-183.1385,2.3089,-1.7449,0.5640
2022-11-07,-150.4144,-153.7799,2.7813,3.3655,6.1468
2022-11-08,-992.6119,-993.5564,1.5173,0.9445,2.4618
2022-11-09,-1414.9930,-1418.4742,-3.9555,3.4812,-0.4743
2022-11-10,1054.0476,1058.1578,-25.4958,-4.1102,-29.6060
2022-11-11,-301.5939,-301.1713,-3.2531,-0.4227,-3.6758
2022-11-12,-151.2743,-147.3769,0.9415,-3.8974,-2.9559
2022-11-13,-286.8354,-288.9885,-0.4208,2.1530,1.7322
2022-11-14,177.3501,174.0068,-1.2586,3.3433,2.0847
2022-11-15,169.1451,170.4888,-2.6314,-1.3437,-3.9751
2022-11-16,-140.7112,-140.7483,-1.8712,0.0371,-1.8341
2022-11-17,17.8842,18.9182,-1.2381,-1.0340,-2.2721
2022-11-18,4.7267,4.5558,0.0517,0.1709,0.2226
2022-11-19,0.1377,1.9174,1.2284,-1.7796,-0.5512
2022-11-20,-251.7562,-251.7837,0.1794,0.0275,0.2069
2022-11-21,-306.4699,-307.0192,0.8982,0.5493,1.4475
2022-11-22,282.3914,283.7761,0.2429,-1.3847,-1.1418
2022-11-23,231.8182,231.3108,1.9016,0.5074,2.4090
2022-11-24,-2.5056,-2.0487,1.3704,-0.4568,0.9136
2022-11-25,-46.2740,-45.9849,0.3848,-0.2891,0.0957
2022-11-26,-38.4756,-40.5059,0.4927,2.0303,2.5230
2022-11-27,-18.1000,-16.1710,0.1781,-1.9290,-1.7509
2022-11-28,-131.3975,-132.8048,0.2860,1.4073,1.6933
2022-11-29,141.6279,141.1336,0.8546,0.4942,1.3488
2022-11-30,438.5639,438.1983,1.6953,0.3656,2.0609
2022-12-01,-108.5259,-106.5684,0.6028,-1.9575,-1.3547
2022-12-02,67.9552,66.2915,0.7275,1.6637,2.3912
2022-12-03,-121.4200,-119.1243,1.8425,-2.2957,-0.4532
2022-12-04,130.5877,130.3356,1.7192,0.2521,1.9713
2022-12-05,-81.4641,-82.5755,0.0439,1.1114,1.1553
2022-12-06,72.2666,70.9387,0.8629,1.3279,2.1908
2022-12-07,-147.6509,-146.7333,0.7053,-0.9175,-0.2122
2022-12-08,230.1291,230.5681,0.3502,-0.4390,-0.0888
2022-12-09,-55.4688,-54.6004,0.8383,-0.8684,-0.0301
2022-12-10,-0.6247,-1.1681,-0.0645,0.5434,0.4789
2022-12-11,-24.7789,-24.9416,0.2494,0.1627,0.4121
2022-12-12,73.0346,71.8498,0.3374,1.1848,1.5222
2022-12-13,328.2252,335.5233,1.4974,-7.2980,-5.8006
2022-12-14,16.0059,15.0756,3.0000,0.9303,3.9303
2022-12-15,-250.9724,-253.9331,2.5180,2.9607,5.4787
