date,spot_return_bps,perp_return_bps,funding_pnl_bps,basis_pnl_bps,total_pnl_bps
2020-02-20,0.0000,0.0000,8.3341,0.0000,8.3341
2020-02-21,323.3966,323.9858,18.0849,-0.5892,17.4957
2020-02-22,-139.4805,-136.0006,15.3912,-3.4799,11.9113
2020-02-23,493.5581,490.3945,16.8785,3.1636,20.0421
2020-02-24,-326.4354,-326.5737,11.2224,0.1383,11.3607
2020-02-25,-709.9277,-702.6722,12.4051,-7.2555,5.1496
2020-02-26,-921.8794,-928.2273,19.8428,6.3479,26.1907
2020-02-27,172.3753,170.4596,4.6168,1.9157,6.5325
2020-02-28,-45.2171,-36.4163,6.8276,-8.8008,-1.9732
2020-02-29,-421.1501,-430.6663,14.4220,9.5161,23.9381
2020-03-01,27.6230,32.2120,6.6830,-4.5890,2.0940
2020-03-02,650.1079,651.8050,4.0385,-1.6971,2.3414
2020-03-03,-347.4587,-349.6684,5.1403,2.2097,7.3500
2020-03-04,15.6313,16.5105,9.3984,-0.8792,8.5192
2020-03-05,183.7153,185.7709,10.4933,-2.0556,8.4377
2020-03-06,722.4801,712.9111,5.7380,9.5690,15.3070
2020-03-07,-312.3979,-310.2801,3.3739,-2.1178,1.2561
2020-03-08,-1593.3904,-1592.6519,11.6100,-0.7385,10.8715
2020-03-09,169.4830,174.4011,3.7620,-4.9181,-1.1561
2020-03-10,-104.0383,-101.9604,6.0427,-2.0779,3.9648
2020-03-11,-303.4380,-305.5486,6.3551,2.1107,8.4658
2020-03-12,-4459.6886,-4522.3551,10.0917,62.6665,72.7582
2020-03-13,2433.6858,2569.5811,-29.9769,-135.8953,-165.8722
2020-03-14,-859.3167,-863.3415,3.0000,4.0248,7.0248
2020-03-15,101.1914,109.3431,3.0000,-8.1517,-5.1517
2020-03-16,-1030.8612,-1035.5961,-0.2932,4.7349,4.4417
2020-03-17,418.8435,415.9914,3.0000,2.8521,5.8521
2020-03-18,210.9449,214.3845,3.0000,-3.4396,-0.4396
2020-03-19,1540.0897,1545.3622,3.0000,-5.2725,-2.2725
2020-03-20,-206.8966,-212.5788,3.0000,5.6822,8.6822
2020-03-21,-61.4324,-63.6609,3.0000,2.2285,5.2285
2020-03-22,-779.4362,-785.4074,3.0000,5.9712,8.9712
2020-03-23,1111.8378,1121.4724,3.0000,-9.6346,-6.6346
2020-03-24,183.9317,177.9935,3.0000,5.9382,8.9382
2020-03-25,-167.6058,-164.7637,3.0000,-2.8421,0.1579
2020-03-26,168.9934,169.7281,3.0000,-0.7348,2.2652
2020-03-27,-510.8382,-515.8587,3.0000,5.0205,8.0205
2020-03-28,-26.6504,-24.3772,1.7285,-2.2732,-0.5447
2020-03-29,-494.7320,-500.1909,3.0000,5.4589,8.4589
2020-03-30,607.2289,614.1479,1.0090,-6.9190,-5.9100
2020-03-31,49.9773,43.1687,3.0000,6.8085,9.8085
2020-04-01,223.7794,225.4732,1.2632,-1.6938,-0.4306
2020-04-02,411.9685,420.3540,1.4830,-8.3855,-6.9025
2020-04-03,2.1234,-4.9540,3.0000,7.0774,10.0774
2020-04-04,197.4383,197.5501,2.4881,-0.1118,2.3763
2020-04-05,-98.5427,-99.2918,2.3554,0.7491,3.1045
2020-04-06,2007.2890,2002.9455,2.2567,4.3435,6.6002
2020-04-07,-390.4973,-385.6266,-1.4175,-4.8707,-6.2882
2020-04-08,515.0945,525.0684,3.0000,-9.9739,-6.9739
2020-04-09,-207.3826,-215.3704,3.0000,7.9878,10.9878
2020-04-10,-690.7739,-694.5592,3.0000,3.7852,6.7852
2020-04-11,32.9510,31.7078,1.8577,1.2432,3.1009
2020-04-12,16.4214,33.5040,2.1985,-17.0826,-14.8841
2020-04-13,-145.0281,-148.0595,3.0000,3.0314,6.0314
2020-04-14,138.2046,131.7388,3.0000,6.4658,9.4658
2020-04-15,-360.9972,-365.4611,3.0000,4.4639,7.4639
2020-04-16,1280.6914,1286.0325,1.7474,-5.3411,-3.5937
2020-04-17,-92.8667,-99.2628,3.0000,6.3961,9.3961
2020-04-18,978.9677,992.0263,2.9454,-13.0585,-10.1131
2020-04-19,-393.2764,-400.5761,3.0000,7.2996,10.2996
2020-04-20,-546.0201,-543.4239,3.0000,-2.5962,0.4038
2020-04-21,31.7274,27.6162,3.0000,4.1112,7.1112
2020-04-22,700.4803,701.3946,3.0000,-0.9143,2.0857
2020-04-23,153.8041,158.7910,3.0000,-4.9869,-1.9869
2020-04-24,112.1233,114.2672,3.0000,-2.1439,0.8561
2020-04-25,352.8973,351.7186,3.0000,1.1787,4.1787
2020-04-26,163.2254,165.2510,3.0000,-2.0256,0.9744
2020-04-27,-52.6902,-55.2011,3.0000,2.5108,5.5108
2020-04-28,-5.0932,-3.0555,3.0000,-2.0377,0.9623
2020-04-29,974.3172,977.5355,3.0000,-3.2184,-0.2184
2020-04-30,-430.9064,-430.6265,6.0543,-0.2799,5.7744
