date,open,high,low,close,volume_usd
2010-07-18,0.04951,0.08585,0.04951,0.08584,5.09
2010-07-19,0.08584,0.09307,0.07723,0.0808,49.66
2010-07-20,0.0808,0.08181,0.07426,0.07474,20.59
2010-07-21,0.07474,0.07921,0.06634,0.07921,42.26
2010-07-22,0.07921,0.08181,0.0505,0.05842,129.79
2010-07-23,0.05842,0.06767,0.0505,0.06262,141.06
2010-07-24,0.06262,0.06262,0.05049,0.05454,26.73
2010-07-25,0.05454,0.05941,0.0505,0.0505,85.07
2010-07-26,0.0505,0.056,0.05,0.056,46.91
2010-07-27,0.056,0.0605,0.053,0.06,196.92
2010-07-28,0.06,0.062,0.054,0.0589,255.76
2010-07-29,0.0589,0.0699,0.0571,0.0699,528.33
2010-07-30,0.0699,0.0699,0.0582,0.0627,198.54
2010-07-31,0.0627,0.06889,0.056,0.06785,243.9
2010-08-01,0.06785,0.06785,0.06,0.0611,162.64
2010-08-02,0.0611,0.0633,0.06,0.0611,221.2
2010-08-03,0.0611,0.065,0.059,0.06,606.05
2010-08-04,0.06,0.06231,0.057,0.057,210.77
2010-08-05,0.057,0.061,0.057,0.061,303.6
2010-08-06,0.061,0.0624,0.0607,0.0623,85.91
2010-08-07,0.0623,0.0623,0.059,0.059,157.34
2010-08-08,0.059,0.061,0.059,0.0609,132.59
2010-08-09,0.0609,0.0735,0.0593,0.071,886.92
2010-08-10,0.071,0.071,0.06651,0.07,88.87
2010-08-11,0.07,0.07541,0.06,0.067,1015.63
2010-08-12,0.067,0.07,0.06141,0.07,134.49
2010-08-13,0.07,0.07,0.0645,0.0645,233.81
2010-08-14,0.0645,0.0695,0.0645,0.067,295.3
2010-08-15,0.067,0.067,0.065,0.06529,294.95
2010-08-16,0.06529,0.0679,0.062,0.0655,696.81
2010-08-17,0.0655,0.0769,0.06243,0.07,915.01
2010-08-18,0.07,0.0733,0.067,0.068,203.83
2010-08-19,0.068,0.068,0.0667,0.0667,50.04
2010-08-20,0.0667,0.0667,0.065,0.0655,276.43
2010-08-21,0.0655,0.0669,0.0644,0.0664,688.53
2010-08-22,0.0664,0.0664,0.0612,0.066,1183.64
2010-08-23,0.066,0.06689,0.063,0.06491,281.88
2010-08-24,0.06491,0.0665,0.06491,0.065,444.67
2010-08-25,0.065,0.0665,0.0641,0.0648,278.87
2010-08-26,0.0648,0.0658,0.064,0.064,251.56
2010-08-27,0.064,0.065,0.063,0.065,583.71
2010-08-28,0.065,0.065,0.0641,0.0646,399.44
2010-08-29,0.0646,0.0648,0.064,0.064,204.88
2010-08-30,0.064,0.069,0.03211,0.06497,2134.99
2010-08-31,0.06497,0.06497,0.06,0.06,933.23
2010-09-01,0.06,0.0629,0.05961,0.0629,436.72
2010-09-02,0.0629,0.0634,0.0601,0.0634,498.98
2010-09-03,0.0634,0.0634,0.06085,0.06085,54.61
2010-09-04,0.06085,0.06238,0.06085,0.06238,202.26
2010-09-05,0.06238,0.064,0.0605,0.06165,527.97
2010-09-06,0.06165,0.0627,0.0616,0.0616,56.13
2010-09-07,0.0616,0.06201,0.0603,0.06101,212.35
2010-09-08,0.06101,0.062,0.06099,0.062,143.36
2010-09-09,0.062,0.0624,0.06109,0.06111,107.68
2010-09-10,0.06111,0.0618,0.06014,0.0618,301.8
2010-09-11,0.0618,0.065,0.0618,0.06366,491.19
2010-09-12,0.06366,0.06366,0.0615,0.0615,48.99
2010-09-13,0.0615,0.064,0.0607,0.06219,632.19
2010-09-14,0.06219,0.175,0.061,0.06199,876.75
2010-09-15,0.06199,0.0625,0.0604,0.0604,223.27
2010-09-16,0.0604,0.0619,0.0604,0.0619,45.17
2010-09-17,0.0619,0.0619,0.059,0.0601,438.93
2010-09-18,0.0601,0.061,0.05761,0.061,427.76
2010-09-19,0.061,0.0627,0.06,0.0627,797.35
2010-09-20,0.0627,0.0634,0.062,0.0621,891.2
2010-09-21,0.0621,0.0633,0.0621,0.06265,359.83
2010-09-22,0.06265,0.06265,0.06147,0.0622,717.32
2010-09-23,0.0622,0.063,0.0615,0.06231,970.09
2010-09-24,0.06231,0.0624,0.06209,0.0622,42.66
2010-09-25,0.0622,0.0624,0.0617,0.06202,133.05
2010-09-26,0.06202,0.06228,0.06186,0.0622,748.21
2010-09-27,0.0622,0.06228,0.0619,0.06221,668.52
2010-09-28,0.06221,0.06271,0.0617,0.0619,439.06
2010-09-29,0.0619,0.062,0.0615,0.06191,1450.8
2010-09-30,0.06191,0.06191,0.06155,0.0619,488.15
2010-10-01,0.0619,0.062,0.06189,0.06197,106.46
2010-10-02,0.06197,0.06197,0.06125,0.0614,802.53
2010-10-03,0.0614,0.0614,0.061,0.06111,439.88
2010-10-04,0.06111,0.062,0.06081,0.0613,2079.89
2010-10-05,0.0613,0.06301,0.0609,0.0614,1699.18
2010-10-06,0.0614,0.0635,0.0612,0.06281,2091.29
2010-10-07,0.06281,0.067,0.0628,0.067,2812.8
2010-10-08,0.067,0.088,0.01,0.08685,10784.23
2010-10-09,0.08685,0.12,0.068,0.0938,16104.88
2010-10-10,0.0938,0.1301,0.07999,0.0965,4889.34
2010-10-11,0.0965,0.103,0.091,0.095,1395.23
2010-10-12,0.095,0.099,0.082,0.0949,2396.81
2010-10-13,0.0949,0.105,0.092,0.105,4558.52
2010-10-14,0.105,0.105,0.065,0.102,3701.66
2010-10-15,0.102,0.119,0.092,0.105,2554.91
2010-10-16,0.105,0.105,0.1,0.101,633.63
2010-10-17,0.101,0.1045,0.1,0.102,1857.8
2010-10-18,0.102,0.103,0.097,0.1024,2591.63
2010-10-19,0.1024,0.1024,0.097,0.097,623.34
2010-10-20,0.097,0.103,0.094,0.099,3221.09
2010-10-21,0.099,0.109,0.097,0.107,4616.85
2010-10-22,0.107,0.109,0.1015,0.109,3665.44
2010-10-23,0.109,0.109,0.1045,0.1055,481.52
2010-10-24,0.1055,0.19,0.1055,0.115,1560.61
2010-10-25,0.115,0.19,0.09009,0.132,4449.99
2010-10-26,0.132,0.18,0.132,0.1503,2995.09
2010-10-27,0.1503,0.19,0.1503,0.1877,11594.01
2010-10-28,0.1877,0.191,0.1731,0.1731,4009.67
2010-10-29,0.1731,0.19,0.173,0.19,5380.5
2010-10-30,0.19,0.199,0.1875,0.1989,5112.03
2010-10-31,0.1989,0.1989,0.171,0.1925,7829.47
2010-11-01,0.1925,0.1955,0.172,0.1955,4049.75
2010-11-02,0.1955,0.1955,0.1905,0.1938,1121.35
2010-11-03,0.1938,0.275,0.125,0.1931,11769.61
2010-11-04,0.1931,0.236,0.1931,0.23,6229.14
2010-11-05,0.23,0.2639,0.2101,0.2639,8757.16
2010-11-06,0.2639,0.5,0.2402,0.39,9396.96
2010-11-07,0.39,0.47,0.286,0.34,27937.74
2010-11-08,0.34,0.37,0.2261,0.243,38339.25
2010-11-09,0.243,0.323,0.199,0.223,12808.3
2010-11-10,0.223,0.24,0.14,0.24,6110.13
2010-11-11,0.24,0.24,0.21,0.2231,1111.56
2010-11-12,0.2231,0.29,0.223,0.2682,10494.46
2010-11-13,0.2682,0.3,0.2682,0.276,6351.58
2010-11-14,0.276,0.299,0.2702,0.279,4793.8
2010-11-15,0.279,0.2828,0.2682,0.2682,2337.49
2010-11-16,0.2682,0.275,0.223,0.2251,8609.67
2010-11-17,0.2251,0.29,0.2116,0.24,8662.61
2010-11-18,0.24,0.283,0.2221,0.2678,10253.28
2010-11-19,0.2678,0.28,0.2678,0.28,583.44
2010-11-20,0.28,0.29,0.2682,0.283,4119.08
2010-11-21,0.283,0.283,0.2763,0.2767,212.67
2010-11-22,0.2767,0.2879,0.269,0.2879,7818.64
2010-11-23,0.2879,0.2879,0.276,0.2829,1361.83
2010-11-24,0.2829,0.283,0.2761,0.283,710.24
2010-11-25,0.283,0.283,0.278,0.28,469.99
2010-11-26,0.28,0.289,0.2761,0.2844,9511.0
2010-11-27,0.2844,0.2844,0.2826,0.283,515.89
2010-11-28,0.283,0.2846,0.27,0.27,5746.31
2010-11-29,0.27,0.279,0.2151,0.2299,8802.04
2010-11-30,0.2299,0.2299,0.204,0.2082,4570.58
2010-12-01,0.2082,0.2299,0.2082,0.2275,1752.72
2010-12-02,0.2275,0.2553,0.218,0.255,4800.55
2010-12-03,0.255,0.2552,0.243,0.251,633.78
2010-12-04,0.251,0.2589,0.205,0.206,6673.4
2010-12-05,0.206,0.235,0.19,0.19,1178.04
2010-12-06,0.19,0.225,0.1841,0.204,863.03
2010-12-07,0.204,0.2477,0.1701,0.2402,5411.8
2010-12-08,0.2402,0.2402,0.22,0.2388,789.85
2010-12-09,0.2388,0.2388,0.1701,0.2,4411.93
2010-12-10,0.2,0.204,0.1825,0.204,328.18
2010-12-11,0.204,0.228,0.1907,0.228,1267.22
2010-12-12,0.228,0.228,0.2068,0.22,418.8
2010-12-13,0.22,0.23,0.21,0.2299,1425.92
2010-12-14,0.2299,0.2468,0.21,0.2467,2403.84
2010-12-15,0.2467,0.2467,0.238,0.24,901.16
2010-12-16,0.24,0.255,0.2222,0.25,3522.63
2010-12-17,0.25,0.25,0.24,0.24,130.19
2010-12-18,0.24,0.2488,0.24,0.241,41.67
2010-12-19,0.241,0.2499,0.24,0.2401,487.5
2010-12-20,0.2401,0.275,0.24,0.267,2769.88
2010-12-21,0.267,0.267,0.24,0.24,2291.81
2010-12-22,0.24,0.25,0.24,0.25,949.37
2010-12-23,0.25,0.25,0.241,0.25,2160.74
2010-12-24,0.25,0.25,0.242,0.248,1252.06
2010-12-25,0.248,0.25,0.2475,0.2499,175.44
2010-12-26,0.2499,0.27,0.2464,0.265,4203.03
2010-12-27,0.265,0.27,0.251,0.265,1270.15
2010-12-28,0.265,0.281,0.2612,0.281,4238.98
2010-12-29,0.281,0.301,0.271,0.3,5363.74
2010-12-30,0.3,0.3,0.291,0.3,759.92
2010-12-31,0.3,0.3,0.292,0.3,428.45
2011-01-01,0.3,0.3,0.292,0.3,841.96
2011-01-02,0.3,0.3,0.289,0.3,1584.67
2011-01-03,0.3,0.3,0.29,0.295,420.85
2011-01-04,0.295,0.2999,0.289,0.2989,548.33
2011-01-05,0.2989,0.299,0.29,0.299,106.2
2011-01-06,0.299,0.299,0.29,0.298,1031.28
2011-01-07,0.298,0.322,0.2975,0.32,13152.15
2011-01-08,0.32,0.3229,0.309,0.3229,512.03
2011-01-09,0.3229,0.323,0.3229,0.323,546.2
2011-01-10,0.323,0.329,0.3175,0.3266,3360.67
2011-01-11,0.3266,0.3266,0.3176,0.3266,1578.66
2011-01-12,0.3266,0.3557,0.318,0.3188,10508.18
2011-01-13,0.3188,0.405,0.3176,0.3176,7147.04
2011-01-14,0.3176,0.45,0.3176,0.4,10691.11
2011-01-15,0.4,0.4,0.385,0.3861,591.14
2011-01-16,0.3861,0.4,0.386,0.3868,1085.16
2011-01-17,0.3868,0.3868,0.315,0.3495,6360.7
2011-01-18,0.3495,0.3495,0.305,0.313,4950.52
2011-01-19,0.313,0.313,0.305,0.313,2247.63
2011-01-20,0.313,0.39,0.31,0.39,6900.03
2011-01-21,0.39,0.44,0.368,0.4199,3351.63
2011-01-22,0.4199,0.4443,0.39,0.4443,4513.92
2011-01-23,0.4443,0.4443,0.42,0.4424,505.83
2011-01-24,0.4424,0.4424,0.381,0.4199,4516.66
2011-01-25,0.4199,0.425,0.4,0.41,901.25
2011-01-26,0.41,0.42,0.3904,0.417,6315.93
2011-01-27,0.417,0.45,0.4085,0.4212,12086.91
2011-01-28,0.4212,0.446,0.4212,0.446,2301.78
2011-01-29,0.446,0.446,0.43,0.439,643.62
2011-01-30,0.439,0.48,0.439,0.4799,4775.82
2011-01-31,0.4799,0.95,0.47,0.5501,32708.39
2011-02-01,0.5501,0.85,0.5201,0.7077,23264.18
2011-02-02,0.7077,0.76,0.69,0.716,4126.03
2011-02-03,0.716,0.75,0.6501,0.6964,6064.12
2011-02-04,0.6964,0.88,0.67,0.811,33965.74
2011-02-05,0.811,0.92,0.811,0.92,13634.18
2011-02-06,0.92,0.92,0.83,0.8997,7608.77
2011-02-07,0.8997,0.9,0.83,0.89,1949.54
2011-02-08,0.89,0.918,0.8617,0.918,6306.78
2011-02-09,0.918,1.09,0.82,1.09,47455.0
2011-02-10,1.09,1.1,0.8,0.9803,25568.81
2011-02-11,0.9803,1.09,0.9264,1.07,13213.53
2011-02-12,1.07,1.08,0.9906,1.08,4353.8
2011-02-13,1.08,1.08,1.02,1.05,3398.29
2011-02-14,1.05,1.08,1.033,1.07,7532.4
2011-02-15,1.07,1.085,1.035,1.05,9085.51
2011-02-16,1.05,1.05,1.02,1.045,7465.04
2011-02-17,1.045,1.05,1.02,1.04,4184.96
2011-02-18,1.04,1.04,0.7801,0.8989,32719.72
2011-02-19,0.8989,0.98,0.8376,0.949,3454.7
2011-02-20,0.949,0.949,0.83,0.865,8503.39
2011-02-21,0.865,0.8796,0.8313,0.8345,1435.86
2011-02-22,0.8345,0.95,0.8313,0.8702,10650.3
2011-02-23,0.8702,0.945,0.8681,0.9,6057.77
2011-02-24,0.9,1.0,0.9,0.9974,12708.12
2011-02-25,0.9974,0.9998,0.9111,0.9112,4276.3
2011-02-26,0.9112,0.97,0.9106,0.958,4452.65
2011-02-27,0.958,0.958,0.89,0.89,21576.82
2011-02-28,0.89,0.92,0.845,0.8702,4108.62
2011-03-01,0.8702,0.97,0.8502,0.9202,21413.42
2011-03-02,0.9202,0.94,0.9102,0.9399,2533.97
2011-03-03,0.9399,0.9399,0.91,0.9391,2520.6
2011-03-04,0.9391,0.9391,0.9001,0.9012,2469.57
2011-03-05,0.9012,0.9189,0.8111,0.9103,11115.03
2011-03-06,0.9103,0.9103,0.81,0.8999,10775.11
2011-03-07,0.8999,0.909,0.846,0.885,13527.32
2011-03-08,0.885,0.885,0.85,0.87,3931.42
2011-03-09,0.87,0.87,0.85,0.8645,3881.21
2011-03-10,0.8645,0.9329,0.8497,0.9329,7895.08
2011-03-11,0.9329,0.9329,0.8601,0.88,3301.73
2011-03-12,0.88,0.9197,0.88,0.918,4319.61
2011-03-13,0.918,0.918,0.8898,0.8925,595.43
2011-03-14,0.8925,0.9,0.88,0.8949,4676.62
2011-03-15,0.8949,0.8949,0.87,0.87,2405.4
2011-03-16,0.87,0.88,0.836,0.86,6761.33
2011-03-17,0.86,0.88,0.81,0.8254,6042.77
