date,vrp_net_pct,carry_weekly_pct,overlay_weekly_pct,book0_pct,book1_pct,btc_weekly_ret,is_stress
2021-03-24,1.258906693195771,0.5285191464441619,0.5795588474492173,,,0.12306789296731657,0
2021-03-31,0.9730889648341408,1.6883980008734811,-0.17004165575925612,,,-0.047447632002083906,0
2021-04-07,0.33285070908477526,1.7459536336849713,2.094983153403034,,,0.1252126544475809,0
2021-04-14,-0.65740202599036,1.2246277814020434,-1.230875112317497,,,-0.14567929589055095,1
2021-04-21,0.5720967907553092,0.3793960422758702,0.8389154227531432,,,0.019680919200195213,0
2021-04-28,-0.06607015235421401,0.5515697685664955,1.741240591935863,,,0.0472209388358944,0
2021-05-05,-0.42601563946308935,1.1611318606705834,0.11413934946152221,,,-0.1358864658487493,1
2021-05-12,-0.10196399496121632,0.2943899159006169,-1.327358590247928,,,-0.26074724589231146,1
2021-05-19,0.3370646599659655,0.2820794777256941,0.3907899283373701,,,0.06955066068248983,0
2021-05-26,1.1300626551951953,0.15539119221219533,0.006459196447444537,,,-0.042638852186348775,0
2021-06-02,-0.10647817103146474,0.23458604776941394,-0.025467557008083626,,,-0.004807994318671849,0
2021-06-09,-0.059446836020528075,0.15635034861197772,-0.24771095554644998,,,0.025702330022560282,0
2021-06-16,0.13442083664104015,0.05670067857278527,0.39597959405504296,,,-0.1218007974651758,1
2021-06-23,-0.4564945631537496,-0.08197231882255962,-0.3662352459572135,,,0.04058813346489276,0
2021-06-30,0.6074905703514282,0.07942708173875879,0.12886133341418432,,,-0.03375317448994131,0
2021-07-07,0.8101826857254034,0.05421110501083737,0.1933234435563056,,,-0.03077480086893547,0
2021-07-14,0.44151636912024084,-0.06502213048074634,0.08476732035895876,,,-0.020582254367913277,0
2021-07-21,0.028993312715160407,0.029347025667947335,-0.6894503184985322,,,0.24498895767893192,0
2021-07-28,0.42152950993945665,0.12288613807700521,0.2873180467307954,,,-0.007405878525401088,0
2021-08-04,0.5190272390125052,0.24586397590936615,0.5877833863050775,,,0.14570384344858578,0
2021-08-11,0.6316188126819757,0.3058212468275201,-0.12888070328312903,,,-0.01770363208894543,0
2021-08-18,0.8069620545618008,0.4102762851209363,1.0177358295515482,,,0.09547035708749485,0
2021-08-25,0.8002832342236761,0.2559355912260197,1.082464235665449,,,-0.003324259004699015,0
2021-09-01,-0.6278715285164991,0.8470327172272252,-1.03792431830722,,,-0.056590464514617134,0
2021-09-08,0.8728539376254075,0.2115273883482871,0.291597523333775,,,0.045020110401446045,0
2021-09-15,0.3366159062473709,0.24245605066451903,-1.6287876539567776,,,-0.09513021334994154,1
2021-09-22,0.07874706598153021,0.12380815617495378,-0.2619854098532001,,,-0.04637488715336202,0
2021-09-29,0.7043827821361802,0.05976681642573256,1.2520417602977305,,,0.3321122003801147,0
2021-10-06,0.5578229659817637,0.279507361762632,0.25773377235004813,,,0.03709662840097594,0
2021-10-13,0.8671717432399415,0.6008988609056742,1.8961836399639849,,,0.1505117924939423,0
2021-10-20,0.7105724862987679,0.8143986505775969,-1.1602285741172689,,,-0.11496678631562551,1
2021-10-27,1.0272685654964935,0.5773464042567733,1.4865727573115153,,,0.07674672130249482,0
2021-11-03,0.3943869901590048,0.7064271246132625,0.22361019042075944,,,0.03157489894506016,0
2021-11-10,0.29562827893701865,0.38051440700547223,-0.9998860865961687,,,-0.06993511186310386,0
2021-11-17,0.7839289690071116,0.18923246098097035,-0.17190799527588654,,,-0.05313757408044806,0
2021-11-24,0.5810876815455909,0.2703629104796046,0.4914325493801666,,,0.0008012140370319276,0
2021-12-01,-1.3253331810563336,0.30109703246239405,-0.5499139859472792,,,-0.11739073486724527,1
2021-12-08,0.6589232145340826,0.13657770205403041,-0.13363865551968918,,,-0.031824294216165616,0
2021-12-15,0.46972866604603497,0.2297080465409218,-0.014976873430977021,,,-0.005664997714109332,0
2021-12-22,0.9090259826760089,0.2136301865402257,0.29342090785519964,,,-0.043704062882809036,0
2021-12-29,0.5364559154219908,0.19651493859372815,0.2194605927805495,1.7124025065082156,1.86043559831465,-0.06485638762879165,0
2022-01-05,0.8690391570311096,0.08689848158872637,0.21413145980945292,2.181452855095651,2.3277157654538256,0.010391674508810622,0
2022-01-12,0.21765951327199812,0.07582109359509648,0.9442757341406797,0.7175538683828888,1.3704984343891582,-0.05108232621895825,0
