pair,direction,entry_time,exit_time,entry_price,initial_risk,exit_reason,n_levels_hit,fraction_via_tp,r_gross,cost_r,commission_r,r_net,leverage_ratio,risk_dollars,effective_risk_pct,leverage_capped,dollar_pnl,balance_after
EUR_JPY,DOWN,2024-07-24 23:05:00+09:00,2024-07-24 23:10:00+09:00,166.557,0.203786,SL_INITIAL_NO_TP,0,0.0,-1.0,0.122678,0.032693,-1.155371,817.314979,21.65837,0.01,False,-25.023443,2140.813567
EUR_JPY,DOWN,2024-07-25 09:05:00+09:00,2024-07-25 09:45:00+09:00,166.721,0.221241,SL_INITIAL_NO_TP,0,0.0,3.04974,0.112999,0.030143,2.906598,753.571167,21.57909,0.01,False,62.721749,2220.630704
GBP_JPY,DOWN,2024-07-25 09:05:00+09:00,2024-07-25 09:50:00+09:00,198.379,0.286037,SL_INITIAL_NO_TP,0,0.0,2.878918,0.101385,0.027742,2.749791,693.54245,21.57909,0.01,False,59.337977,2279.96868
EUR_JPY,DOWN,2024-07-25 10:35:00+09:00,2024-07-25 11:20:00+09:00,165.727,0.235469,SL_INITIAL_NO_TP,0,0.0,0.371575,0.106171,0.028153,0.237251,703.816852,22.799687,0.01,False,5.409245,2285.377926
GBP_JPY,DOWN,2024-07-25 11:15:00+09:00,2024-07-25 12:30:00+09:00,196.917,0.27806,SL_INITIAL_NO_TP,0,0.0,1.715126,0.104294,0.028327,1.582505,708.180414,22.799687,0.01,False,36.080622,2321.458548
EUR_JPY,DOWN,2024-07-25 12:10:00+09:00,2024-07-25 14:05:00+09:00,165.14,0.400132,SL_INITIAL_NO_TP,0,0.0,-1.0,0.062479,0.016509,-1.078988,412.714246,22.853779,0.01,False,-24.658954,2270.862719
GBP_JPY,DOWN,2024-07-25 12:55:00+09:00,2024-07-25 13:55:00+09:00,196.393,0.314291,SL_INITIAL_NO_TP,0,0.0,-1.0,0.092271,0.024995,-1.117266,624.876735,23.214585,0.01,False,-25.936874,2295.521673
AUD_JPY,DOWN,2024-08-03 00:30:00+09:00,2024-08-03 00:40:00+09:00,95.463,0.215598,SL_INITIAL_NO_TP,0,0.0,-1.0,0.125233,0.017711,-1.142945,442.783281,22.708627,0.01,False,-25.954704,2244.908015
GBP_JPY,UP,2024-08-07 13:05:00+09:00,2024-08-07 13:35:00+09:00,187.366,0.496856,SL_INITIAL_NO_TP,0,0.0,0.756272,0.058367,0.015084,0.682821,377.103279,22.44908,0.01,False,15.328703,2260.236718
GBP_JPY,UP,2024-08-09 08:05:00+09:00,2024-08-09 08:20:00+09:00,187.926,0.330441,SL_INITIAL_NO_TP,0,0.0,0.910271,0.087762,0.022749,0.799761,568.712966,22.602367,0.01,False,18.076484,2278.313202
