event_hour_utc,date_utc,bitget_funding_rate,binance_funding_rate,match
2026-08-09T00,2026-08-09,-0.000022,0.00003196,0
2026-08-09T08,2026-08-09,0.000031,0.00004185,1
2026-08-09T16,2026-08-09,-0.00001,0.00007977,0
2026-08-10T00,2026-08-10,0.000014,0.00004828,1
2026-08-10T08,2026-08-10,0.000011,0.00003426,1
2026-08-10T16,2026-08-10,0.0001,0.00001434,1
2026-08-11T00,2026-08-11,0.0001,0.00001104,1
2026-08-11T08,2026-08-11,0.0001,0.00006272,1
2026-08-11T16,2026-08-11,0.000055,0.00005425,1
2026-08-12T00,2026-08-12,0.000086,0.0001,1
2026-08-12T08,2026-08-12,-0.000002,0.0000729,0
2026-08-12T16,2026-08-12,0.000044,0.00005726,1
2026-08-13T00,2026-08-13,0.0001,0.00005218,1
2026-08-13T08,2026-08-13,0.000088,0.00008523,1
2026-08-13T16,2026-08-13,0.000058,0.00005923,1
2026-08-14T00,2026-08-14,0.000076,0.00002697,1
2026-08-14T08,2026-08-14,0.000093,-0.00000675,0
2026-08-14T16,2026-08-14,0.000094,0.00000686,1
2026-08-15T00,2026-08-15,0.000032,0.00005131,1
2026-08-15T08,2026-08-15,0.000027,0.00004368,1
2026-08-15T16,2026-08-15,0.000081,0.00005945,1
2026-08-16T00,2026-08-16,0.000034,-0.00000423,0
2026-08-16T08,2026-08-16,0.000089,0.00001949,1
2026-08-16T16,2026-08-16,0.000052,0.0000397,1
2026-08-17T00,2026-08-17,0.000083,0.00002723,1
2026-08-17T08,2026-08-17,-0.000024,0.00006731,0
2026-08-17T16,2026-08-17,0.000013,0.00006471,1
2026-08-18T00,2026-08-18,0.000003,0.00004633,1
2026-08-18T08,2026-08-18,0.00005,0.00002206,1
2026-08-18T16,2026-08-18,-0.000026,0.00004443,0
2026-08-19T00,2026-08-19,-0.000035,0.00003595,0
2026-08-19T08,2026-08-19,-0.000012,0.0000264,0
2026-08-19T16,2026-08-19,0.00002,0.0001,1
2026-08-20T00,2026-08-20,0.0001,0.0001,1
2026-08-20T08,2026-08-20,0.0001,0.0001,1
2026-08-20T16,2026-08-20,0.0001,0.0001,1
2026-08-21T00,2026-08-21,0.000074,0.00009031,1
2026-08-21T08,2026-08-21,0.000084,0.0001,1
2026-08-21T16,2026-08-21,0.0001,0.0001,1
2026-08-22T00,2026-08-22,0.0001,0.0001,1
2026-08-22T08,2026-08-22,0.000079,0.0001,1
2026-08-22T16,2026-08-22,0.0001,0.0001,1
2026-08-23T00,2026-08-23,0.0001,0.0001,1
2026-08-23T08,2026-08-23,0.0001,0.0001,1
2026-08-23T16,2026-08-23,0.0001,0.0001,1
2026-08-24T00,2026-08-24,0.000098,0.0001,1
2026-08-24T08,2026-08-24,0.000089,0.0001,1
2026-08-24T16,2026-08-24,0.000033,0.0001,1
2026-08-25T00,2026-08-25,0.000033,0.00009302,1
2026-08-25T08,2026-08-25,0.000068,0.00006736,1
2026-08-25T16,2026-08-25,0.000035,0.00007398,1
2026-08-26T00,2026-08-26,0.000039,0.00003144,1
2026-08-26T08,2026-08-26,0.000005,0.0001,1
2026-08-26T16,2026-08-26,0.000048,0.00007451,1
2026-08-27T00,2026-08-27,0.000065,0.0001,1
2026-08-27T08,2026-08-27,-0.00003,0.00006226,0
2026-08-27T16,2026-08-27,0.000027,0.00001082,1
2026-08-28T00,2026-08-28,0.000011,0.00002071,1
2026-08-28T08,2026-08-28,0.0001,-0.00000133,0
2026-08-28T16,2026-08-28,0.0001,0.00005622,1
2026-08-29T00,2026-08-29,0.0001,0.00001591,1
2026-08-29T08,2026-08-29,0.0001,0.00002808,1
2026-08-29T16,2026-08-29,0.0001,0.00006071,1
2026-08-30T00,2026-08-30,0.0001,0.00003166,1
2026-08-30T08,2026-08-30,0.0001,0.00002817,1
2026-08-30T16,2026-08-30,0.000005,0.00004116,1
2026-08-31T00,2026-08-31,0.0001,0.00002364,1
2026-08-31T08,2026-08-31,0.0001,0.00003522,1
2026-08-31T16,2026-08-31,0.0001,0.00007702,1
2026-09-01T00,2026-09-01,0.0001,0.00005716,1
2026-09-01T08,2026-09-01,0.000096,0.00008569,1
2026-09-01T16,2026-09-01,0.0001,0.000011,1
2026-09-02T00,2026-09-02,0.0001,9.2e-7,1
2026-09-02T08,2026-09-02,0.0001,0.00005096,1
2026-09-02T16,2026-09-02,0.000098,0.00005184,1
2026-09-03T00,2026-09-03,0.0001,0.00008972,1
2026-09-03T08,2026-09-03,0.0001,0.00008397,1
2026-09-03T16,2026-09-03,0.00008,0.00008789,1
2026-09-04T00,2026-09-04,0.0001,0.00009533,1
2026-09-04T08,2026-09-04,0.000081,0.00006004,1
2026-09-04T16,2026-09-04,0.000074,0.00000594,1
2026-09-05T00,2026-09-05,0.000085,0.00002001,1
