event_hour_utc,date_utc,bitget_funding_rate,binance_funding_rate,match
2026-08-09T00,2026-08-09,0.000011,0.00004423,1
2026-08-09T08,2026-08-09,0.000051,0.00006667,1
2026-08-09T16,2026-08-09,-0.000021,0.00007054,0
2026-08-10T00,2026-08-10,0.00002,0.00007497,1
2026-08-10T08,2026-08-10,0.000038,0.00007908,1
2026-08-10T16,2026-08-10,0.000078,0.00005057,1
2026-08-11T00,2026-08-11,0.0001,0.00002301,1
2026-08-11T08,2026-08-11,0.0001,0.00001962,1
2026-08-11T16,2026-08-11,0.000048,0.00008282,1
2026-08-12T00,2026-08-12,0.0001,0.0001,1
2026-08-12T08,2026-08-12,0.000065,0.00008568,1
2026-08-12T16,2026-08-12,0.000081,0.00006601,1
2026-08-13T00,2026-08-13,0.0001,0.00006576,1
2026-08-13T08,2026-08-13,0.00007,0.00007218,1
2026-08-13T16,2026-08-13,0.0001,0.00007841,1
2026-08-14T00,2026-08-14,0.0001,0.00008545,1
2026-08-14T08,2026-08-14,0.0001,0.00005999,1
2026-08-14T16,2026-08-14,0.0001,0.00000629,1
2026-08-15T00,2026-08-15,0.0001,0.00006801,1
2026-08-15T08,2026-08-15,0.000099,0.00006523,1
2026-08-15T16,2026-08-15,0.000093,0.00005311,1
2026-08-16T00,2026-08-16,0.000059,0.00000966,1
2026-08-16T08,2026-08-16,0.000076,0.00001839,1
2026-08-16T16,2026-08-16,0.000079,0.00005,1
2026-08-17T00,2026-08-17,0.000065,0.00003818,1
2026-08-17T08,2026-08-17,-0.000011,0.00007131,0
2026-08-17T16,2026-08-17,0.00002,0.00009202,1
2026-08-18T00,2026-08-18,-0.000052,0.00005164,0
2026-08-18T08,2026-08-18,0.000083,0.0000502,1
2026-08-18T16,2026-08-18,-0.00004,0.0000365,0
2026-08-19T00,2026-08-19,0.000038,0.00001617,1
2026-08-19T08,2026-08-19,0.0001,0.00003815,1
2026-08-19T16,2026-08-19,-0.000118,0.0001,0
2026-08-20T00,2026-08-20,0.000057,0.00009655,1
2026-08-20T08,2026-08-20,0.0001,0.0001,1
2026-08-20T16,2026-08-20,0.000037,0.00009422,1
2026-08-21T00,2026-08-21,-0.000004,0.00004964,0
2026-08-21T08,2026-08-21,0.00007,0.00005814,1
2026-08-21T16,2026-08-21,0.0001,0.0001,1
2026-08-22T00,2026-08-22,0.0001,0.0001,1
2026-08-22T08,2026-08-22,0.0001,0.0001,1
2026-08-22T16,2026-08-22,0.0001,0.0001,1
2026-08-23T00,2026-08-23,0.0001,0.0001,1
2026-08-23T08,2026-08-23,0.0001,0.0001,1
2026-08-23T16,2026-08-23,0.0001,0.0001,1
2026-08-24T00,2026-08-24,0.000097,0.0001,1
2026-08-24T08,2026-08-24,0.0001,0.0001,1
2026-08-24T16,2026-08-24,-0.000052,0.0001,0
2026-08-25T00,2026-08-25,-0.000042,0.00005818,0
2026-08-25T08,2026-08-25,0.0001,0.0001,1
2026-08-25T16,2026-08-25,0.000039,0.0001,1
2026-08-26T00,2026-08-26,0.000018,0.00007734,1
2026-08-26T08,2026-08-26,0.000011,0.00005927,1
2026-08-26T16,2026-08-26,0.000031,0.00007091,1
2026-08-27T00,2026-08-27,0.000021,0.00004595,1
2026-08-27T08,2026-08-27,0.000038,0.0001,1
2026-08-27T16,2026-08-27,0.000024,0.00006331,1
